δ[p, , Z]
δ[f, , Z]

δ[q, 00000000111111111, [Z]]
δ[q, 0000000111111111, X Z]
δ[q, 000000111111111, X X Z]
δ[q, 00000111111111, X X X Z]
δ[q, 0000111111111, X X X X Z]
δ[q, 000111111111, X X X X X Z]
δ[q, 00111111111, X X X X X X Z]
δ[q, 0111111111, X X X X X X X Z]
δ[q, 111111111, X X X X X X X X Z]
δ[p, 11111111, X X X X X X X Z]
δ[p, 1111111, X X X X X X Z]
δ[p, 111111, X X X X X Z]
δ[p, 11111, X X X X Z]
δ[p, 1111, X X X Z]
δ[p, 111, X X Z]
δ[p, 11, X Z]
δ[p, 1, Z]

δ[q, 0000000011111111, [Z]]
δ[q, 000000011111111, X Z]
δ[q, 00000011111111, X X Z]
δ[q, 0000011111111, X X X Z]
δ[q, 000011111111, X X X X Z]
δ[q, 00011111111, X X X X X Z]
δ[q, 0011111111, X X X X X X Z]
δ[q, 011111111, X X X X X X X Z]
δ[q, 11111111, X X X X X X X X Z]
δ[p, 1111111, X X X X X X X Z]
δ[p, 111111, X X X X X X Z]
δ[p, 11111, X X X X X Z]
δ[p, 1111, X X X X Z]
δ[p, 111, X X X Z]
δ[p, 11, X X Z]
δ[p, 1, X Z]
δ[p, , Z]
δ[f, , Z]

δ[q, 000011111, [Z]]
δ[q, 00011111, X Z]
δ[q, 0011111, X X Z]
δ[q, 011111, X X X Z]
δ[q, 11111, X X X X Z]
δ[p, 1111, X X X Z]
δ[p, 111, X X Z]
δ[p, 11, X Z]
δ[p, 1, Z]

δ[q, 000000000111111111, [Z]]
δ[q, 00000000111111111, X Z]
δ[q, 0000000111111111, X X Z]
δ[q, 000000111111111, X X X Z]
δ[q, 00000111111111, X X X X Z]
δ[q, 0000111111111, X X X X X Z]
δ[q, 000111111111, X X X X X X Z]
δ[q, 00111111111, X X X X X X X Z]
δ[q, 0111111111, X X X X X X X X Z]
δ[q, 111111111, X X X X X X X X X Z]
δ[p, 11111111, X X X X X X X X Z]
δ[p, 1111111, X X X X X X X Z]
δ[p, 111111, X X X X X X Z]
δ[p, 11111, X X X X X Z]
δ[p, 1111, X X X X Z]
δ[p, 111, X X X Z]
δ[p, 11, X X Z]
δ[p, 1, X Z]
δ[p, , Z]
δ[f, , Z]

δ[q, 0000000001111111111, [Z]]
δ[q, 000000001111111111, X Z]
δ[q, 00000001111111111, X X Z]
δ[q, 0000001111111111, X X X Z]
δ[q, 000001111111111, X X X X Z]
δ[q, 00001111111111, X X X X X Z]
δ[q, 0001111111111, X X X X X X Z]
δ[q, 001111111111, X X X X X X X Z]
δ[q, 01111111111, X X X X X X X X Z]
δ[q, 1111111111, X X X X X X X X X Z]
δ[p, 111111111, X X X X X X X X Z]
δ[p, 11111111, X X X X X X X Z]
δ[p, 1111111, X X X X X X Z]
δ[p, 111111, X X X X X Z]
δ[p, 11111, X X X X Z]
δ[p, 1111, X X X Z]
δ[p, 111, X X Z]
δ[p, 11, X Z]
δ[p, 1, Z]
